"lower/upper",3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
1,"{{0.15833723803555638, 0.002866923805743494}, {-5.218327089656416, 0.008619055186027763}}","{{0.1413717945131544, 0.0020436342994351}, {-5.190051350452413, 0.007659290297951163}}","{{0.13058050021547113, 0.0015413090883244322}, {-5.168468761857047, 0.007006511014849223}}","{{0.12303284420673448, 0.0012244490347105787}, {-5.150857564503329, 0.006542681246050353}}","{{0.11764635108567906, 0.0010305501460824524}, {-5.136493582847181, 0.006209239733383464}}","{{0.11387753526284605, 0.0008964099180745757}, {-5.125187135378683, 0.005945325620004865}}","{{0.11170612461798185, 0.0008040213236681873}, {-5.1179490998957995, 0.00572085040876085}}","{{0.11079416679248517, 0.000731599426928356}, {-5.114605254535644, 0.005527782178242409}}","{{0.11092930443660898, 0.0006706634375006049}, {-5.1151458051121415, 0.005328524380143701}}","{{0.11191093325954932, 0.0006375357995257327}, {-5.119399530011548, 0.005219630261212576}}","{{0.11348502103863392, 0.0006121638563120036}, {-5.12674527298061, 0.005137541464893395}}","{{0.11570141888028948, 0.0005877131223376169}, {-5.137827262188888, 0.005088779883581318}}","{{0.11823473068242364, 0.0005734511425763252}, {-5.151338258466938, 0.005074361720926788}}","{{0.12091155277392783, 0.0005815963211159843}, {-5.166506916985461, 0.005140355254045505}}","{{0.12377780260726276, 0.0005954933470369578}, {-5.183704415985472, 0.005248563643480109}}","{{0.12679748460658746, 0.0006086014706199216}, {-5.202829068647861, 0.00532754530561807}}","{{0.129876451817377, 0.0006239976843976931}, {-5.2233555167197885, 0.005376204082875451}}","{{0.13314179324712508, 0.0006269686494063776}, {-5.246212906728028, 0.005288838040081258}}","{{0.1363021830011418, 0.0006501506226507522}, {-5.269389098257481, 0.00531720496998617}}","{{0.13944392773776157, 0.0007277313234117724}, {-5.293475807904903, 0.005799247395583241}}","{{0.14256876569363608, 0.00083171541451291}, {-5.318474511551901, 0.006552952704957302}}","{{0.1456347540665709, 0.000957949811630322}, {-5.3440160608413905, 0.0077642004554639805}}"
2,"{{0, 0}, {0, 0}}","{{0.12229571314119216, 0.0017826223079920914}, {-5.1264644125458725, 0.00752275894149074}}","{{0.11564681238064743, 0.001370768878583284}, {-5.108734010517751, 0.006921511540784447}}","{{0.11105356910234501, 0.0011504066689254223}, {-5.094954280682845, 0.006600595394755024}}","{{0.10786466997573521, 0.000999719420022395}, {-5.084324616927479, 0.006313653721575762}}","{{0.10581381566350437, 0.0008892783834879675}, {-5.076804817782631, 0.0060739467525320065}}","{{0.10511548225726021, 0.0008188909786811534}, {-5.074011484157655, 0.005886643946843061}}","{{0.10546545432848037, 0.0007623090411576103}, {-5.075528029799609, 0.0057344926318077475}}","{{0.10669336199422919, 0.0007088043714287806}, {-5.081258265573102, 0.005549026859569394}}","{{0.10862364013813756, 0.0006769388176258672}, {-5.090909656292648, 0.005447318260299592}}","{{0.11100795806730437, 0.0006458097045546255}, {-5.103626018581538, 0.005339661854620171}}","{{0.11394642680326543, 0.0006109968356680541}, {-5.120277341418648, 0.00524118322636256}}","{{0.11709235344527943, 0.0005881582478173282}, {-5.139152901270731, 0.005182697557821954}}","{{0.12027840211393681, 0.0005986848870458905}, {-5.159331209505561, 0.0052840490179740865}}","{{0.12358207700893745, 0.0006178031494231344}, {-5.181355708805565, 0.005459513069775575}}","{{0.12698004225504408, 0.000634807269099469}, {-5.205141465528313, 0.0055937411875649325}}","{{0.1303808327505378, 0.0006523332132461805}, {-5.230080595828602, 0.00567780516418568}}","{{0.13393680160097896, 0.0006562178138838818}, {-5.257343023681982, 0.005605449105670037}}","{{0.13733372949501224, 0.0006835620051008257}, {-5.284518446834248, 0.005701116805458884}}","{{0.14067644549284616, 0.0007698121132519798}, {-5.312374413482868, 0.006344515998998593}}","{{0.14397331255788318, 0.0008857903881548103}, {-5.340947261379852, 0.007335228710584036}}","{{0.14718323514190876, 0.0010260009841811114}, {-5.369824078763685, 0.00882832058543267}}"
3,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10696615593252481, 0.0012599701784960983}, {-5.071117832575888, 0.00697553675830746}}","{{0.10441661923913438, 0.0011149184112487012}, {-5.06176953136679, 0.006831953776258619}}","{{0.10260694040716296, 0.0009935289548409082}, {-5.054530816038905, 0.006573193148478731}}","{{0.10162504451371376, 0.0009059668092062922}, {-5.050275933833958, 0.006374305470442553}}","{{0.10192397903419756, 0.0008505191061810383}, {-5.051670961596216, 0.006215478638671096}}","{{0.10315931992898726, 0.000802477219062261}, {-5.057847666070163, 0.006092626578240283}}","{{0.10517257027590204, 0.0007524424405506736}, {-5.068585001253711, 0.005914460968550966}}","{{0.10779306239225704, 0.0007209229369494163}, {-5.08343445657972, 0.0058201797765631445}}","{{0.11076190680779611, 0.0006836565961714568}, {-5.101247523072955, 0.005679449361602102}}","{{0.11423112887633549, 0.0006411675832284629}, {-5.123219262840373, 0.005540232570922304}}","{{0.1178172439135717, 0.000615748288214372}, {-5.147126696421947, 0.005476600234796468}}","{{0.12135488661085252, 0.0006303494755167398}, {-5.17189019530291, 0.005635217767650924}}","{{0.12495552022559757, 0.0006552941206792381}, {-5.198294841811044, 0.005896636834934542}}","{{0.12860655072538565, 0.0006778183565541441}, {-5.226286075642751, 0.006116521117444405}}","{{0.13221608028266146, 0.0006999858974410868}, {-5.255162312100957, 0.006279559522604689}}","{{0.13596324039069377, 0.0007066510190754766}, {-5.286388646334562, 0.0062657667012819265}}","{{0.13950443029570775, 0.0007379154885274811}, {-5.317078958844682, 0.00645011731366601}}","{{0.1429643478132554, 0.000832227905191993}, {-5.34821821650261, 0.007265810661760798}}","{{0.14635730675873318, 0.0009595086094693479}, {-5.379885833327071, 0.008498459583975307}}","{{0.1496419959026471, 0.0011131105128909416}, {-5.411623011696238, 0.010279130320484428}}"
4,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10185513164840636, 0.0012183837906691976}, {-5.048108264216244, 0.007720762113235963}}","{{0.10042135719581584, 0.0010717884752796288}, {-5.041417316770821, 0.007253279709239719}}","{{0.09992093622952654, 0.0009802117018091448}, {-5.0389152119393765, 0.006997778325224317}}","{{0.10088755168489864, 0.0009211793838960613}, {-5.044070494368025, 0.006798033567778588}}","{{0.10277196922085845, 0.0008666531093839223}, {-5.054748860405132, 0.006645831369988985}}","{{0.10538536983153307, 0.0008115320807830667}, {-5.0704292640691815, 0.006440249364726751}}","{{0.10854090473916018, 0.000775957624295161}, {-5.090414318484149, 0.00633572717133339}}","{{0.11195394956842662, 0.0007321951750136045}, {-5.11316795067926, 0.006162322709713286}}","{{0.11583720423840413, 0.0006815541371202413}, {-5.140350733369103, 0.005980025659592014}}","{{0.11975332588816812, 0.0006570827064270898}, {-5.169068958800707, 0.005949441915258903}}","{{0.12353736254278454, 0.0006777558743697719}, {-5.198079906486098, 0.006197819870444583}}","{{0.12734059011221788, 0.0007082011907098461}, {-5.228505727041566, 0.006557211171643512}}","{{0.1311604153604278, 0.0007355760887259765}, {-5.260337604109983, 0.006870835285433293}}","{{0.13490190303298324, 0.0007627073124037868}, {-5.292763830605461, 0.007132800709677077}}","{{0.13877392635956962, 0.0007727630716940706}, {-5.327612040544739, 0.00720292630985373}}","{{0.14239628336859875, 0.0008085534238405724}, {-5.361420705962346, 0.007501189551772331}}","{{0.14591599714347864, 0.0009108190353437483}, {-5.395444605786181, 0.008499162001849827}}","{{0.1493530870504823, 0.0010487609079933653}, {-5.42981550485622, 0.009972310661213015}}","{{0.1526651298173264, 0.0012140360046640683}, {-5.4640239995506805, 0.012020290902819294}}"
5,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.09862362926118186, 0.0011355450761211805}, {-5.0300317065181375, 0.007743734707709103}}","{{0.09877186177906033, 0.0010293370367005982}, {-5.030871690786113, 0.007438856071924214}}","{{0.10058475319677146, 0.0009658397058889761}, {-5.041749039292385, 0.007213217109011969}}","{{0.10319824274075849, 0.0009048921978054743}, {-5.058301139737634, 0.007050140943704093}}","{{0.10643653680594024, 0.0008520903371093959}, {-5.079889766838844, 0.006879426450087576}}","{{0.11011816369687255, 0.0008197066760377213}, {-5.10566115507537, 0.006826341595100066}}","{{0.11393916094204014, 0.0007742457224020359}, {-5.133681801539935, 0.006662873979825774}}","{{0.11820202427129024, 0.0007204180611191637}, {-5.166363753730852, 0.0064854345046160495}}","{{0.12240020076048594, 0.0007031738887370431}, {-5.199949165644414, 0.006557755031871516}}","{{0.12637376437881984, 0.0007338087600340746}, {-5.2330621957971974, 0.006943628803337653}}","{{0.13032573436877518, 0.0007712244559292445}, {-5.267312602376811, 0.007423942820557108}}","{{0.1342647997586503, 0.0008037582759350538}, {-5.302764190885689, 0.007842162113788761}}","{{0.13809123453444994, 0.0008374864142252791}, {-5.338477582126485, 0.008233464680130517}}","{{0.14204859433917594, 0.0008520358935899701}, {-5.376732060238835, 0.008413879192366403}}","{{0.14571185593990207, 0.000893145503350821}, {-5.413364676246095, 0.008846803922137951}}","{{0.1492542520707354, 0.001003655926839283}, {-5.449969436264712, 0.010036111751416657}}","{{0.15270174565981734, 0.0011524437758230006}, {-5.486742701214917, 0.011757333325070722}}","{{0.15600965301906936, 0.0013292847551456685}, {-5.523110576114809, 0.014074806194585994}}"
6,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.09863539429481838, 0.0011096407086418857}, {-5.029870929235008, 0.00823734795807334}}","{{0.10142296516350197, 0.001022526659095726}, {-5.048454735026226, 0.007839859596928357}}","{{0.10474656573839208, 0.000948278315647551}, {-5.071719939050458, 0.007622623678446181}}","{{0.10854818349275697, 0.0008947112150164209}, {-5.099598469249134, 0.007469341070921477}}","{{0.11267837615629399, 0.0008720213774278637}, {-5.131263279669586, 0.007528212243258772}}","{{0.11681456959789786, 0.0008271623945287453}, {-5.164352827202416, 0.007400341766510969}}","{{0.1213857561879009, 0.0007743424599971568}, {-5.202446048785775, 0.007276084791451298}}","{{0.12578682159161514, 0.0007680594535820627}, {-5.2405886156179635, 0.007499065638021089}}","{{0.1298671020803488, 0.0008085137166459374}, {-5.277311140016568, 0.00802495038140058}}","{{0.13389551078504255, 0.0008513467146780901}, {-5.314909621260375, 0.00861070238434454}}","{{0.13789138986316488, 0.0008866058597938383}, {-5.353536452348892, 0.0091067372549846}}","{{0.14174637387771918, 0.0009259253534858592}, {-5.392086292494436, 0.009620617189339592}}","{{0.14574402974397288, 0.0009433487129415051}, {-5.433395403112387, 0.00989491237221338}}","{{0.1494032696191906, 0.000989151223400482}, {-5.472427295114714, 0.010456929766696429}}","{{0.15292813427373472, 0.0011085161192106}, {-5.511200806314695, 0.011849210034707361}}","{{0.15635047357238127, 0.001269515459488727}, {-5.549987318366028, 0.013846062944593979}}","{{0.15962170428087555, 0.001459844474195786}, {-5.588127498827316, 0.01647152583580761}}"
7,"{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0, 0}, {0, 0}}","{{0.10352055658333889, 0.001121666009458467}, {-5.065934663524868, 0.008919362243264723}}","{{0.1074571617357563, 0.0010128396317810782}, {-5.096115303026735, 0.00849501690103356}}","{{0.11169518819292236, 0.0009514485187482112}, {-5.130019514684066, 0.0083013362286039}}","{{0.11615311017758273, 0.0009457112634809633}, {-5.167168864556237, 0.00854945829347234}}","{{0.12047829202498939, 0.0008995487537144972}, {-5.204653773900426, 0.008448105725130982}}","{{0.12527634465572254, 0.0008483373303695338}, {-5.247836247577023, 0.00839624215837752}}","{{0.1297908493785224, 0.0008546441275764804}, {-5.28997162498982, 0.008796791608104418}}","{{0.13388638040762235, 0.0009051526065722974}, {-5.329561758271122, 0.009469636806189279}}","{{0.13791644918093782, 0.0009534535543169723}, {-5.3698624460042765, 0.010167525938385581}}","{{0.14190815170609733, 0.0009887868921722364}, {-5.411110038764259, 0.010713517882276117}}","{{0.14573824682397823, 0.0010325453521327459}, {-5.45196438668832, 0.011344149516917527}}","{{0.14973672882166042, 0.001050333206366708}, {-5.495947688662825, 0.011684514991871202}}","{{0.15335150746988183, 0.0010990261716172873}, {-5.536915180009333, 0.012354949222239132}}","{{0.1568234504749073, 0.0012269846783779864}, {-5.577421181734634, 0.013952983701046256}}","{{0.16019014543208032, 0.0014007204463031562}, {-5.617821521220707, 0.016243954716028877}}","{{0.163397058851021, 0.001606203108885951}, {-5.657342332613315, 0.019216372909155774}}"
